Time Step,Throughput,Avg Waiting Time,Avg Stop Time,Stop Count,Fairness,Stability (Speed deviation)
0,0.0,3.01,0.1,0,1.0,nan
1,0.0,3.01,0.1,0,1.0,0.0
2,0.0,3.01,0.1,0,1.0,0.0
3,0.0,3.01,0.1,0,1.0,0.0
4,0.0,3.01,0.1,0,1.0,0.0
5,0.0,3.01,0.1,0,1.0,0.0
6,0.0,3.01,0.1,0,1.0,0.0
7,0.0,3.01,0.1,0,1.0,0.0
8,0.0,3.01,0.1,0,1.0,0.0
9,0.0,3.01,0.1,0,1.0,0.0
10,0.0,3.01,0.1,0,1.0,0.0
11,0.0,3.01,0.1,0,1.0,0.0
12,0.0,3.01,0.1,0,1.0,0.0
13,0.0,3.01,0.1,0,1.0,0.0
14,0.0,3.01,0.1,0,1.0,0.0
15,0.0,3.01,0.1,0,1.0,0.0
16,0.0,3.01,0.1,0,1.0,0.0
17,0.0,3.01,0.1,0,1.0,0.0
18,0.0,3.01,0.1,0,1.0,0.0
19,0.0,3.01,0.1,0,1.0,0.0
20,0.0,3.01,0.1,0,1.0,0.0
21,0.0,3.01,0.1,0,1.0,0.0
22,0.0,3.01,0.1,0,1.0,0.0
23,0.0,3.01,0.1,0,1.0,0.0
24,0.0,3.01,0.1,0,1.0,0.0
25,0.0,3.01,0.1,0,1.0,0.0
26,0.0,3.01,0.1,0,1.0,0.0
27,0.0,3.01,0.1,0,1.0,0.0
28,0.0,3.01,0.1,0,1.0,0.0
29,0.0,3.01,0.1,0,1.0,0.0
30,0.0,3.01,0.1,0,1.0,0.0
31,0.0,3.01,0.1,0,1.0,0.0
32,0.0,3.01,0.1,0,1.0,1.768
33,0.0,3.01,0.1,0,1.0,1.741
34,0.0,3.01,0.1,0,1.0,1.715
35,0.0,3.01,0.1,0,1.0,1.69
36,0.0,3.01,0.1,0,1.0,2.242
37,0.0,3.01,0.1,0,1.0,2.218
38,0.0,3.01,0.1,0,1.0,2.194
39,0.0,3.01,0.1,0,1.0,2.166
40,0.0,3.01,0.1,0,1.0,2.569
41,0.0,3.01,0.1,0,1.0,2.542
42,0.0,3.01,0.1,0,1.0,2.517
43,0.0,3.01,0.1,0,1.0,2.492
44,0.0,3.01,0.1,0,1.0,2.812
45,0.0,3.01,0.1,0,1.0,2.785
46,0.0,3.01,0.1,0,1.0,2.758
47,0.0,3.01,0.1,0,1.0,2.733
48,0.0,3.01,0.1,0,1.0,3.0
49,0.0,3.01,0.1,0,1.0,2.973
50,0.0,3.01,0.1,0,1.0,2.946
51,0.0,3.01,0.1,0,1.0,2.921
52,0.0,3.01,0.1,0,1.0,3.15
53,0.0,3.01,0.1,0,1.0,3.123
54,0.0,3.01,0.1,0,1.0,3.097
55,0.0,3.01,0.1,0,1.0,3.072
56,0.0,3.01,0.1,1,1.0,3.047
57,0.0,3.01,0.1,1,1.0,3.023
58,0.0,3.01,0.1,1,1.0,3.0
59,0.0,3.01,0.1,1,1.0,2.977
60,0.0,3.01,0.1,1,1.0,2.955
61,0.0,3.01,0.1,1,1.0,2.934
62,0.0,3.01,0.1,1,1.0,2.913
63,0.0,3.01,0.1,1,1.0,2.892
64,0.0,3.01,0.1,1,1.0,2.872
65,0.0,3.01,0.1,1,1.0,2.853
66,0.0,3.01,0.1,1,1.0,2.834
67,0.0,3.01,0.1,1,1.0,2.815
68,0.0,3.01,0.1,1,1.0,2.797
69,0.0,3.01,0.1,1,1.0,2.779
70,0.0,3.01,0.1,1,1.0,2.762
71,0.0,3.01,0.1,1,1.0,2.745
72,0.0,3.01,0.1,1,1.0,2.728
73,0.0,3.01,0.1,1,1.0,2.712
74,0.0,3.01,0.1,1,1.0,2.696
75,0.0,3.01,0.1,1,1.0,2.681
76,0.0,3.01,0.1,1,1.0,2.666
77,0.0,3.01,0.1,1,1.0,2.651
78,0.0,3.01,0.1,1,1.0,2.636
79,0.0,3.01,0.1,1,1.0,2.622
80,0.0,3.01,0.1,1,1.0,2.608
81,0.0,3.01,0.1,1,1.0,2.594
82,0.0,3.01,0.1,1,1.0,2.58
83,0.0,3.01,0.1,1,1.0,2.567
84,0.0,3.01,0.1,1,1.0,2.554
85,0.0,3.01,0.1,1,1.0,2.541
86,0.0,3.01,0.1,1,1.0,2.529
87,0.0,3.01,0.1,1,1.0,2.517
88,0.0,3.01,0.1,1,1.0,2.505
89,0.0,3.01,0.1,1,1.0,2.493
90,0.0,3.01,0.1,1,1.0,2.481
91,0.0,3.01,0.1,1,1.0,2.47
92,0.0,3.01,0.1,1,1.0,2.458
93,0.0,3.01,0.1,1,1.0,2.447
94,0.0,3.01,0.1,1,1.0,2.436
95,0.0,3.01,0.1,1,1.0,2.426
96,0.0,3.01,0.1,1,1.0,2.415
97,0.0,3.01,0.1,1,1.0,2.405
98,0.0,3.01,0.1,1,1.0,2.395
99,0.0,3.01,0.1,1,1.0,2.385
100,0.0,3.01,0.09,1,1.0,2.375
101,0.0,3.01,0.09,1,1.0,2.365
102,0.0,3.01,0.09,1,1.0,2.356
103,0.0,3.01,0.09,1,1.0,2.346
104,0.0,3.01,0.09,1,1.0,2.337
105,0.0,3.01,0.09,1,1.0,2.328
106,0.0,3.01,0.09,1,1.0,2.319
107,0.0,3.01,0.09,1,1.0,2.31
108,0.0,3.01,0.09,1,1.0,2.301
109,0.0,3.01,0.09,1,1.0,2.293
110,0.0,3.01,0.09,1,1.0,2.284
111,0.0,3.01,0.09,1,1.0,2.276
112,0.0,3.01,0.09,1,1.0,2.268
113,0.0,3.01,0.09,1,1.0,2.26
114,0.0,3.01,0.09,1,1.0,2.252
115,0.0,3.01,0.09,1,1.0,2.244
116,0.0,3.01,0.09,1,1.0,2.236
117,0.0,3.01,0.09,1,1.0,2.228
118,0.0,3.01,0.09,1,1.0,2.221
119,0.0,3.01,0.09,1,1.0,2.213
120,0.0,3.01,0.09,1,1.0,2.204
121,0.0,3.01,0.09,1,1.0,2.195
122,0.0,3.01,0.09,1,1.0,2.186
123,0.0,3.01,0.09,1,1.0,2.177
124,0.0,3.01,0.09,1,1.0,2.168
125,0.0,3.01,0.09,1,1.0,2.16
126,0.0,3.01,0.09,1,1.0,2.296
127,0.0,3.01,0.09,1,1.0,2.288
128,0.0,3.01,0.09,1,1.0,2.281
129,0.0,3.01,0.09,1,1.0,2.274
130,0.0,3.01,0.09,1,1.0,2.267
131,0.0,3.01,0.09,1,1.0,2.26
132,0.0,3.01,0.09,1,1.0,2.384
133,0.0,3.01,0.09,1,1.0,2.376
134,0.0,3.01,0.09,1,1.0,2.369
135,0.0,3.01,0.09,1,1.0,2.362
136,0.0,3.01,0.09,1,1.0,2.355
137,0.0,3.01,0.09,1,1.0,2.348
138,0.0,3.01,0.09,1,1.0,2.461
139,0.0,3.01,0.09,1,1.0,2.454
140,0.0,3.01,0.09,1,1.0,2.447
141,0.0,3.01,0.09,1,1.0,2.439
142,0.0,3.01,0.09,1,1.0,2.432
143,0.0,3.01,0.09,1,1.0,2.425
144,0.0,3.01,0.09,1,1.0,2.53
145,0.0,3.01,0.09,1,1.0,2.523
146,0.0,3.01,0.09,1,1.0,2.516
147,0.0,3.01,0.09,1,1.0,2.508
148,0.0,3.01,0.09,1,1.0,2.501
149,0.0,3.01,0.09,1,1.0,2.494
150,0.0,3.01,0.09,1,1.0,2.592
151,0.0,3.01,0.09,1,1.0,2.585
152,0.0,3.01,0.09,1,1.0,2.578
153,0.0,3.01,0.09,1,1.0,2.571
154,0.0,3.01,0.09,1,1.0,2.563
155,0.0,3.01,0.09,1,1.0,2.556
156,0.0,3.01,0.09,2,1.0,2.55
157,0.0,3.01,0.09,2,1.0,2.543
158,0.0,3.01,0.09,2,1.0,2.536
159,0.0,3.01,0.09,2,1.0,2.529
160,0.0,3.01,0.09,2,1.0,2.522
161,0.0,3.01,0.09,2,1.0,2.516
162,0.0,3.01,0.09,2,1.0,2.509
163,0.0,3.01,0.09,2,1.0,2.503
164,0.0,3.01,0.09,2,1.0,2.496
165,0.0,3.01,0.09,2,1.0,2.49
166,0.0,3.01,0.09,2,1.0,2.484
167,0.0,3.01,0.09,2,1.0,2.477
168,0.0,3.01,0.09,2,0.91,2.471
169,0.0,3.01,0.09,2,0.91,2.465
