Time Step,Throughput,Avg Passing Time,Avg Stationary Duration,Stop Count,Fairness,Stability (Speed Deviation)
0,0.0,15.03,0,0,0.98,nan
1,0.0,15.03,0,0,0.98,0.0
2,0.0,15.03,0,0,0.98,0.0
3,0.0,15.03,0,0,0.98,0.0
4,0.0,15.03,0,0,0.98,0.0
5,0.0,15.03,0,0,0.98,0.0
6,0.0,15.03,0,0,0.98,0.0
7,0.0,15.03,0,0,0.98,0.0
8,0.0,15.03,0,0,0.98,0.0
9,0.0,15.03,0,0,0.98,0.0
10,0.0,15.03,0,0,0.98,0.0
11,0.0,15.03,0,0,0.98,0.0
12,0.0,15.03,0,0,0.98,0.0
13,0.0,15.03,0,0,0.98,0.0
14,0.0,15.03,0,0,0.98,0.0
15,0.0,15.03,0,0,0.98,0.0
16,0.0,15.03,0,0,0.98,0.0
17,0.0,15.03,0,0,0.98,0.0
18,0.0,15.04,0,0,0.98,0.0
19,0.0,15.04,0,0,0.98,0.0
20,0.0,15.04,0,0,0.98,0.0
21,0.0,15.04,0,0,0.98,0.0
22,0.0,15.04,0,0,0.98,0.0
23,0.0,15.04,0,0,0.98,0.0
24,0.0,15.04,0,0,0.98,0.0
25,0.0,15.04,0,0,0.98,0.0
26,0.0,15.04,0,0,0.98,0.0
27,0.0,15.04,0,0,0.98,0.0
28,0.0,15.04,0,0,0.98,0.0
29,0.0,15.04,0,0,0.98,0.0
30,0.0,15.04,0,0,0.98,0.0
31,0.0,15.04,0,0,0.98,0.0
32,0.0,15.04,0,0,0.98,0.0
33,0.0,15.04,0,0,0.98,0.0
34,0.0,15.08,0,0,0.98,0.0
35,0.0,15.08,0,0,0.98,0.0
36,0.0,15.08,0,0,0.98,0.0
37,0.0,15.08,0,0,0.98,0.0
38,0.0,15.08,0,0,0.98,0.0
39,0.0,15.08,0,0,0.98,0.0
40,0.0,15.08,0,0,0.98,0.0
41,0.0,15.08,0,0,0.98,0.0
42,0.0,15.08,0,0,0.98,0.0
43,0.0,15.08,0,0,0.98,0.0
44,0.0,15.08,0,0,0.98,0.0
45,0.0,15.08,0,0,0.98,0.0
46,0.0,15.08,0,0,0.98,0.0
47,0.0,15.08,0,0,0.98,0.0
48,0.0,15.08,0,0,0.98,0.0
49,0.0,15.08,0,0,0.98,0.0
50,0.0,15.08,0,0,0.98,0.0
51,0.0,15.08,0,0,0.98,0.0
52,0.0,15.08,0,0,0.98,0.0
53,0.0,15.08,0,0,0.98,0.0
54,0.0,15.08,0,0,0.98,0.0
55,0.0,15.08,0,0,0.98,0.0
56,0.0,15.08,0,0,0.98,0.0
57,0.0,15.08,0,0,0.98,0.0
58,0.0,15.08,0,0,0.98,0.0
59,0.0,15.08,0,0,0.98,0.0
60,0.0,15.08,0,0,0.98,0.0
61,0.0,15.08,0,0,0.98,0.0
62,0.0,15.08,0,0,0.98,0.0
63,0.0,15.08,0,0,0.98,0.0
64,0.0,15.08,0,0,0.98,0.0
65,0.0,15.08,0,0,0.98,0.072
66,0.0,15.08,0,0,0.98,0.158
67,0.0,15.08,0,0,0.98,0.17
68,0.0,15.08,0,0,0.98,0.216
69,0.0,15.08,0,0,0.98,0.293
70,0.0,15.08,0,0,0.98,0.391
71,0.0,15.08,0,0,0.98,0.451
72,0.0,15.08,0,0,0.98,0.49
73,0.0,15.08,0,0,0.98,0.515
74,0.0,15.08,0,0,0.98,0.53
75,0.0,15.08,0,0,0.98,0.537
76,0.0,15.08,0,0,0.98,0.561
77,0.0,15.08,0,0,0.98,0.575
78,0.0,15.08,0,0,0.98,0.583
79,0.0,15.08,0,0,0.98,0.585
80,0.0,15.08,0,0,0.98,0.584
81,0.0,15.08,0,0,0.98,0.594
82,0.0,15.08,0,0,0.98,0.598
83,0.0,15.08,0,0,0.98,0.598
84,0.0,15.08,0,0,0.98,0.596
85,0.0,15.08,0,0,0.98,0.591
86,0.0,15.08,0,0,0.98,0.593
87,0.0,15.08,0,0,0.98,0.592
88,0.0,15.08,0,0,0.98,0.588
89,0.0,15.07,0,0,0.98,0.584
