Time Step,Throughput,Avg Passing Time,Avg Stationary Duration,Stop Count,Fairness,Stability (Speed Deviation)
0.0,0.0,15.018,0.0,0.0,1.0,
1.0,0.0,15.018,0.0,0.0,1.0,0.0
2.0,0.0,15.018,0.0,0.0,1.0,0.0
3.0,0.0,15.018,0.0,0.0,1.0,0.0
4.0,0.0,15.018,0.0,0.0,1.0,0.0
5.0,0.0,15.018,0.0,0.0,1.0,0.0
6.0,0.0,15.018,0.0,0.0,1.0,0.0
7.0,0.0,15.018,0.0,0.0,1.0,0.0
8.0,0.0,15.018,0.0,0.0,1.0,0.0
9.0,0.0,15.018,0.0,0.0,1.0,0.0
10.0,0.0,15.018,0.0,0.0,1.0,0.0
11.0,0.0,15.018,0.0,0.0,1.0,0.0
12.0,0.0,15.018,0.0,0.0,1.0,0.0
13.0,0.0,15.018,0.0,0.0,1.0,0.0
14.0,0.0,15.018,0.0,0.0,1.0,0.0
15.0,0.0,15.018,0.0,0.0,1.0,0.0
16.0,0.0,15.018,0.0,0.0,1.0,0.0
17.0,0.0,15.018,0.0,0.0,1.0,0.0
18.0,0.0,15.018,0.0,0.0,1.0,0.0
19.0,0.0,15.018,0.0,0.0,1.0,0.0
20.0,0.0,15.018,0.0,0.0,1.0,0.0
21.0,0.0,15.018,0.0,0.0,1.0,0.0
22.0,0.0,15.018,0.0,0.0,1.0,0.0
23.0,0.0,15.018,0.0,0.0,1.0,0.0
24.0,0.0,15.018,0.0,0.0,1.0,0.0002
25.0,0.0,15.097999999999999,0.0,0.0,1.0,0.0002
26.0,0.0,15.179999999999998,0.0,0.0,1.0,0.0002
27.0,0.0,15.222,0.0,0.0,1.0,0.0002
28.0,0.0,15.222,0.08399999999999999,0.2,1.0,0.0002
29.0,0.0,15.222,0.08399999999999999,0.2,1.0,0.0002
30.0,0.0,15.222,0.08399999999999999,0.2,1.0,0.0002
31.0,0.0,15.301999999999998,0.08399999999999999,0.2,1.0,0.0002
32.0,0.0,15.301999999999998,0.08399999999999999,0.2,1.0,0.0002
33.0,0.0,15.301999999999998,0.08399999999999999,0.2,1.0,0.0002
34.0,0.0,15.301999999999998,0.08399999999999999,0.2,1.0,0.0002
35.0,0.0,15.301999999999998,0.08399999999999999,0.2,1.0,0.0002
36.0,0.0,15.3,0.08399999999999999,0.2,1.0,0.0002
37.0,0.0,15.3,0.08399999999999999,0.2,1.0,0.0002
38.0,0.0,15.3,0.08399999999999999,0.2,1.0,0.0002
39.0,0.0,15.3,0.08399999999999999,0.2,1.0,0.0
40.0,0.0,15.3,0.08399999999999999,0.2,1.0,0.0
41.0,0.0,15.3,0.08399999999999999,0.2,1.0,0.0
42.0,0.0,15.3,0.08399999999999999,0.2,1.0,0.0
43.0,0.0,15.3,0.08399999999999999,0.2,1.0,0.0
44.0,0.0,15.3,0.08399999999999999,0.2,1.0,0.0
45.0,0.0,15.3,0.08399999999999999,0.2,1.0,0.0
46.0,0.0,15.3,0.08399999999999999,0.2,1.0,0.0
47.0,0.0,15.3,0.08399999999999999,0.2,1.0,0.0
48.0,0.0,15.3,0.08399999999999999,0.2,1.0,0.0
49.0,0.0,15.3,0.08399999999999999,0.2,1.0,0.0
50.0,0.0,15.294,0.08399999999999999,0.2,1.0,0.0
51.0,0.0,15.294,0.08399999999999999,0.2,1.0,0.0
52.0,0.0,15.294,0.08399999999999999,0.2,1.0,0.0
53.0,0.0,15.294,0.08399999999999999,0.2,1.0,0.0
54.0,0.0,15.294,0.08399999999999999,0.2,1.0,0.0
55.0,0.0,15.294,0.08399999999999999,0.2,1.0,0.0156
56.0,0.0,15.294,0.08399999999999999,0.2,1.0,0.0216
57.0,0.0,15.294,0.08399999999999999,0.2,1.0,0.0262
58.0,0.0,15.294,0.08399999999999999,0.2,1.0,0.0434
59.0,0.0,15.294,0.08399999999999999,0.2,1.0,0.0518
60.0,0.0,15.294,0.08399999999999999,0.2,1.0,0.058399999999999994
61.0,0.0,15.294,0.08399999999999999,0.2,1.0,0.064
62.0,0.0,15.294,0.08399999999999999,0.2,1.0,0.06899999999999999
63.0,0.0,15.294,0.08399999999999999,0.2,1.0,0.0732
64.0,0.0,15.294,0.08399999999999999,0.2,1.0,0.0772
65.0,0.0,15.294,0.08399999999999999,0.2,1.0,0.0916
66.0,0.0,15.294,0.08399999999999999,0.2,1.0,0.09920000000000001
67.0,0.0,15.294,0.08399999999999999,0.2,1.0,0.10540000000000001
68.0,0.0,15.294,0.08399999999999999,0.2,1.0,0.1106
69.0,0.0,15.294,0.08399999999999999,0.2,1.0,0.11539999999999999
70.0,0.0,15.294,0.08399999999999999,0.2,1.0,0.11979999999999999
71.0,0.0,15.294,0.08399999999999999,0.2,1.0,0.1236
72.0,0.0,15.294,0.08399999999999999,0.2,1.0,0.1272
73.0,0.0,15.307999999999998,0.08399999999999999,0.2,1.0,0.13040000000000002
74.0,0.0,15.307999999999998,0.08399999999999999,0.2,1.0,0.1418
75.0,0.0,15.307999999999998,0.08399999999999999,0.2,1.0,0.15460000000000002
76.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.1692
77.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.18380000000000002
78.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.19319999999999998
79.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.2004
80.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.2062
81.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.2142
82.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.22039999999999998
83.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.22519999999999998
84.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.22880000000000003
85.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.2314
86.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.23360000000000003
87.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.2372
88.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.2394
89.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.24160000000000004
90.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.24300000000000002
91.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.24559999999999998
92.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.24739999999999998
93.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.24899999999999997
94.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.24979999999999997
95.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.2506
96.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.2522
97.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.2532
98.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.2532
99.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.25339999999999996
100.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.2536
101.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.254
102.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.2536
103.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.2528
104.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.25260000000000005
105.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.252
106.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.2518
107.0,0.0,15.295999999999998,0.08399999999999999,0.2,1.0,0.2508
