Time Step,Throughput,Avg Passing Time,Avg Stationary Duration,Stop Count,Fairness,Stability (Speed Deviation)
0,0.0,15.02,0,0,1.0,nan
1,0.0,15.02,0,0,1.0,0.0
2,0.0,15.02,0,0,1.0,0.0
3,0.0,15.02,0,0,1.0,0.0
4,0.0,15.02,0,0,1.0,0.0
5,0.0,15.02,0,0,1.0,0.0
6,0.0,15.02,0,0,1.0,0.0
7,0.0,15.02,0,0,1.0,0.0
8,0.0,15.02,0,0,1.0,0.0
9,0.0,15.02,0,0,1.0,0.0
10,0.0,15.02,0,0,1.0,0.0
11,0.0,15.02,0,0,1.0,0.0
12,0.0,15.02,0,0,1.0,0.0
13,0.0,15.02,0,0,1.0,0.0
14,0.0,15.02,0,0,1.0,0.0
15,0.0,15.02,0,0,1.0,0.0
16,0.0,15.02,0,0,1.0,0.0
17,0.0,15.02,0,0,1.0,0.0
18,0.0,15.02,0,0,1.0,0.0
19,0.0,15.02,0,0,1.0,0.0
20,0.0,15.02,0,0,1.0,0.0
21,0.0,15.02,0,0,1.0,0.0
22,0.0,15.02,0,0,1.0,0.0
23,0.0,15.02,0,0,1.0,0.0
24,0.0,15.02,0,0,1.0,0.0
25,0.0,15.42,0,0,1.0,0.0
26,0.0,15.42,0,0,1.0,0.0
27,0.0,15.42,0,0,1.0,0.0
28,0.0,15.42,0,0,1.0,0.0
29,0.0,15.42,0,0,1.0,0.0
30,0.0,15.42,0,0,1.0,0.0
31,0.0,15.42,0,0,1.0,0.0
32,0.0,15.42,0,0,1.0,0.0
33,0.0,15.42,0,0,1.0,0.0
34,0.0,15.42,0,0,1.0,0.0
35,0.0,15.42,0,0,1.0,0.0
36,0.0,15.42,0,0,1.0,0.0
37,0.0,15.42,0,0,1.0,0.0
38,0.0,15.42,0,0,1.0,0.0
39,0.0,15.42,0,0,1.0,0.0
40,0.0,15.42,0,0,1.0,0.0
41,0.0,15.42,0,0,1.0,0.0
42,0.0,15.42,0,0,1.0,0.0
43,0.0,15.42,0,0,1.0,0.0
44,0.0,15.42,0,0,1.0,0.0
45,0.0,15.42,0,0,1.0,0.0
46,0.0,15.42,0,0,1.0,0.0
47,0.0,15.42,0,0,1.0,0.0
48,0.0,15.42,0,0,1.0,0.0
49,0.0,15.42,0,0,1.0,0.0
50,0.0,15.39,0,0,1.0,0.0
51,0.0,15.39,0,0,1.0,0.0
52,0.0,15.39,0,0,1.0,0.0
53,0.0,15.39,0,0,1.0,0.0
54,0.0,15.39,0,0,1.0,0.0
55,0.0,15.39,0,0,1.0,0.0
56,0.0,15.39,0,0,1.0,0.0
57,0.0,15.39,0,0,1.0,0.0
58,0.0,15.39,0,0,1.0,0.0
59,0.0,15.39,0,0,1.0,0.0
60,0.0,15.39,0,0,1.0,0.0
61,0.0,15.39,0,0,1.0,0.0
62,0.0,15.39,0,0,1.0,0.0
63,0.0,15.39,0,0,1.0,0.0
64,0.0,15.39,0,0,1.0,0.0
65,0.0,15.39,0,0,1.0,0.054
66,0.0,15.39,0,0,1.0,0.076
67,0.0,15.39,0,0,1.0,0.092
68,0.0,15.39,0,0,1.0,0.105
69,0.0,15.39,0,0,1.0,0.116
70,0.0,15.39,0,0,1.0,0.126
71,0.0,15.39,0,0,1.0,0.134
72,0.0,15.39,0,0,1.0,0.142
73,0.0,15.46,0,0,1.0,0.149
74,0.0,15.46,0,0,1.0,0.155
75,0.0,15.46,0,0,1.0,0.161
76,0.0,15.46,0,0,1.0,0.166
77,0.0,15.46,0,0,1.0,0.171
78,0.0,15.46,0,0,1.0,0.176
79,0.0,15.46,0,0,1.0,0.18
80,0.0,15.46,0,0,1.0,0.185
81,0.0,15.46,0,0,1.0,0.188
82,0.0,15.46,0,0,1.0,0.192
83,0.0,15.46,0,0,1.0,0.196
84,0.0,15.46,0,0,1.0,0.199
85,0.0,15.46,0,0,1.0,0.202
86,0.0,15.46,0,0,1.0,0.205
87,0.0,15.46,0,0,1.0,0.208
88,0.0,15.46,0,0,1.0,0.21
89,0.0,15.46,0,0,1.0,0.213
90,0.0,15.46,0,0,1.0,0.215
91,0.0,15.46,0,0,1.0,0.218
92,0.0,15.46,0,0,1.0,0.22
93,0.0,15.46,0,0,1.0,0.222
94,0.0,15.46,0,0,1.0,0.224
95,0.0,15.46,0,0,1.0,0.226
96,0.0,15.46,0,0,1.0,0.228
97,0.0,15.46,0,0,1.0,0.23
98,0.0,15.46,0,0,1.0,0.228
99,0.0,15.46,0,0,1.0,0.228
100,0.0,15.46,0,0,1.0,0.226
101,0.0,15.46,0,0,1.0,0.225
102,0.0,15.46,0,0,1.0,0.223
103,0.0,15.46,0,0,1.0,0.222
104,0.0,15.46,0,0,1.0,0.221
105,0.0,15.46,0,0,1.0,0.219
106,0.0,15.46,0,0,1.0,0.219
107,0.0,15.46,0,0,1.0,0.217
108,0.0,15.46,0,0,1.0,0.217
109,0.0,15.46,0,0,1.0,0.221
110,0.0,15.46,0,0,1.0,0.223
111,0.0,15.46,0,0,1.0,0.232
112,0.0,15.46,0,0,1.0,0.237
113,0.0,15.46,0,0,1.0,0.239
114,0.0,15.46,0,0,1.0,0.24
115,0.0,15.46,0,0,1.0,0.239
116,0.0,15.46,0,0,1.0,0.238
117,0.0,15.46,0,0,1.0,0.239
118,0.0,15.46,0,0,1.0,0.239
119,0.0,15.46,0,0,1.0,0.238
120,0.0,15.46,0,0,1.0,0.236
121,0.0,15.46,0,0,1.0,0.237
122,0.0,15.46,0,0,1.0,0.236
123,0.0,15.46,0,0,1.0,0.235
124,0.0,15.46,0,0,1.0,0.234
125,0.0,15.46,0,0,1.0,0.232
126,0.0,15.46,0,0,1.0,0.232
127,0.0,15.46,0,0,1.0,0.23
128,0.0,15.38,0,0,1.0,0.229
129,0.0,15.38,0,0,1.0,0.228
130,0.0,15.38,0,0,1.0,0.227
131,0.0,15.38,0,0,1.0,0.226
132,0.0,15.38,0,0,1.0,0.225
133,0.0,15.38,0,0,1.0,0.225
134,0.0,15.38,0,0,1.0,0.224
135,0.0,15.38,0,0,1.0,0.222
136,0.0,15.38,0,0,1.0,0.222
137,0.0,15.38,0,0,1.0,0.223
138,0.0,15.38,0,0,1.0,0.221
139,0.0,15.38,0,0,1.0,0.221
140,0.0,15.38,0,0,1.0,0.221
141,0.0,15.38,0,0,1.0,0.222
142,0.0,15.38,0,0,1.0,0.22
143,0.0,15.38,0,0,1.0,0.22
144,0.0,15.38,0,0,1.0,0.219
145,0.0,15.38,0,0,1.0,0.218
146,0.0,15.38,0,0,1.0,0.217
147,0.0,15.38,0,0,1.0,0.216
148,0.0,15.38,0,0,1.0,0.217
149,0.0,15.38,0,0,1.0,0.216
150,0.0,15.32,0,0,1.0,0.216
151,0.0,15.32,0,0,1.0,0.216
152,0.0,15.32,0,0,1.0,0.215
153,0.0,15.32,0,0,1.0,0.214
154,0.0,15.32,0,0,1.0,0.214
155,0.0,15.32,0,0,1.0,0.214
156,0.0,15.32,0,0,1.0,0.213
157,0.0,15.32,0,0,1.0,0.213
158,0.0,15.32,0,0,1.0,0.212
159,0.0,15.32,0,0,1.0,0.211
160,0.0,15.32,0,0,1.0,0.211
161,0.0,15.32,0,0,1.0,0.211
162,0.0,15.32,0,0,1.0,0.21
163,0.0,15.32,0,0,1.0,0.209
164,0.0,15.32,0,0,1.0,0.208
165,0.0,15.32,0,0,1.0,0.207
166,0.0,15.32,0,0,1.0,0.206
167,0.0,15.32,0,0,1.0,0.205
168,0.0,15.32,0,0,1.0,0.204
169,0.0,15.32,0,0,1.0,0.203
170,0.0,15.32,0,0,1.0,0.202
171,0.0,15.32,0,0,1.0,0.201
172,0.0,15.32,0,0,1.0,0.2
173,0.0,15.32,0,0,1.0,0.199
174,0.0,15.32,0,0,1.0,0.199
175,0.0,15.32,0,0,1.0,0.198
176,0.0,15.32,0,0,1.0,0.197
177,0.0,15.32,0,0,1.0,0.196
178,0.0,15.32,0,0,1.0,0.195
179,0.0,15.32,0,0,1.0,0.194
180,0.0,15.32,0,0,1.0,0.194
181,0.0,15.32,0,0,1.0,0.193
182,0.0,15.32,0,0,1.0,0.192
183,0.0,15.32,0,0,1.0,0.191
184,0.0,15.29,0,0,1.0,0.191
185,0.0,15.29,0,0,1.0,0.19
186,0.0,15.29,0,0,1.0,0.189
187,0.0,15.29,0,0,1.0,0.188
188,0.0,15.29,0,0,1.0,0.188
189,0.0,15.29,0,0,1.0,0.187
190,0.0,15.29,0,0,1.0,0.186
191,0.0,15.29,0,0,1.0,0.185
192,0.0,15.29,0,0,1.0,0.185
193,0.0,15.29,0,0,1.0,0.184
194,0.0,15.29,0,0,1.0,0.183
195,0.0,15.29,0,0,1.0,0.183
196,0.0,15.29,0,0,1.0,0.182
197,0.0,15.29,0,0,1.0,0.181
198,0.0,15.29,0,0,1.0,0.18
199,0.0,15.29,0,0,1.0,0.18
200,0.0,15.29,0,0,1.0,0.179
