Time Step,Throughput,Avg Passing Time,Avg Stationary Duration,Stop Count,Fairness,Stability (Speed Deviation)
0.0,0.0,15.038,0.0,0.0,1.0,
1.0,0.0,15.038,0.0,0.0,1.0,0.0
2.0,0.0,15.038,0.0,0.0,1.0,0.0
3.0,0.0,15.038,0.0,0.0,1.0,0.0
4.0,0.0,15.038,0.0,0.0,1.0,0.0
5.0,0.0,15.038,0.0,0.0,1.0,0.0
6.0,0.0,15.038,0.0,0.0,1.0,0.0
7.0,0.0,15.038,0.0,0.0,1.0,0.0
8.0,0.0,15.038,0.0,0.0,1.0,0.0
9.0,0.0,15.038,0.0,0.0,1.0,0.0
10.0,0.0,15.038,0.0,0.0,1.0,0.0
11.0,0.0,15.038,0.0,0.0,1.0,0.0
12.0,0.0,15.038,0.0,0.0,1.0,0.0
13.0,0.0,15.038,0.0,0.0,1.0,0.0
14.0,0.0,15.038,0.0,0.0,1.0,0.0
15.0,0.0,15.038,0.0,0.0,1.0,0.0
16.0,0.0,15.038,0.0,0.0,1.0,0.0
17.0,0.0,15.038,0.0,0.0,1.0,0.0
18.0,0.0,15.038,0.0,0.0,1.0,0.0
19.0,0.0,15.038,0.0,0.0,1.0,0.0002
20.0,0.0,15.038,0.0,0.0,1.0,0.0004
21.0,0.0,15.038,0.0,0.0,1.0,0.001
22.0,0.0,15.038,0.0,0.0,1.0,0.0028
23.0,0.0,15.038,0.0,0.0,1.0,0.0052
24.0,0.0,15.038,0.0,0.0,1.0,0.008
25.0,0.0,15.038,0.0,0.0,1.0,0.0114
26.0,0.0,15.038,0.0,0.0,1.0,0.0152
27.0,0.0,15.038,0.0,0.0,1.0,0.0198
28.0,0.0,15.038,0.0,0.0,1.0,0.0252
29.0,0.0,15.038,0.0,0.0,1.0,0.0316
30.0,0.0,15.038,0.0,0.0,1.0,0.039
31.0,0.0,15.038,0.0,0.0,1.0,0.048
32.0,0.0,15.038,0.0,0.0,1.0,0.0588
33.0,0.0,15.038,0.0,0.0,1.0,0.0718
34.0,0.0,15.038,0.0,0.0,1.0,0.0874
35.0,0.0,15.038,0.0,0.0,1.0,0.1062
36.0,0.0,15.038,0.0,0.0,1.0,0.1282
37.0,0.0,15.038,0.0,0.0,1.0,0.1524
38.0,0.0,15.038,0.0,0.0,1.0,0.178
39.0,0.0,15.038,0.0,0.0,1.0,0.205
40.0,0.0,15.038,0.0,0.0,1.0,0.23279999999999998
41.0,0.0,15.038,0.0,0.0,1.0,0.2616
42.0,0.0,15.038,0.0,0.0,1.0,0.2812
43.0,0.0,15.038,0.0,0.0,1.0,0.3028
44.0,0.0,15.038,0.0,0.0,1.0,0.3262
45.0,0.0,15.038,0.0,0.0,1.0,0.3508
46.0,0.0,15.038,0.0,0.0,1.0,0.377
47.0,0.0,15.038,0.0,0.0,1.0,0.404
48.0,0.0,15.038,0.0,0.0,1.0,0.42939999999999995
49.0,0.0,15.038,0.0,0.0,1.0,0.449
50.0,0.0,15.118,0.0,0.0,1.0,0.4678
51.0,0.0,15.118,0.0,0.0,1.0,0.4826
52.0,0.0,15.151999999999997,0.0,0.0,1.0,0.497
53.0,0.0,15.151999999999997,0.0,0.0,1.0,0.5082
54.0,0.0,15.151999999999997,0.0,0.0,1.0,0.5194
55.0,0.0,15.151999999999997,0.0,0.0,1.0,0.528
56.0,0.0,15.151999999999997,0.0,0.0,1.0,0.5368
57.0,0.0,15.151999999999997,0.0,0.0,1.0,0.5432
58.0,0.0,15.151999999999997,0.0,0.0,1.0,0.55
59.0,0.0,15.151999999999997,0.0,0.0,1.0,0.5516
60.0,0.0,15.151999999999997,0.0,0.0,1.0,0.5538000000000001
61.0,0.0,15.151999999999997,0.0,0.0,1.0,0.5546
62.0,0.0,15.151999999999997,0.0,0.0,1.0,0.5486
63.0,0.0,15.151999999999997,0.0,0.0,1.0,0.5429999999999999
64.0,0.0,15.151999999999997,0.0,0.0,1.0,0.5376000000000001
65.0,0.0,15.151999999999997,0.0,0.0,1.0,0.5324
66.0,0.0,15.151999999999997,0.0,0.0,1.0,0.5274
67.0,0.0,15.151999999999997,0.0,0.0,1.0,0.5226
68.0,0.0,15.151999999999997,0.0,0.0,1.0,0.518
69.0,0.0,15.151999999999997,0.0,0.0,1.0,0.5134000000000001
70.0,0.0,15.151999999999997,0.0,0.0,1.0,0.509
71.0,0.0,15.151999999999997,0.0,0.0,1.0,0.5048
72.0,0.0,15.151999999999997,0.0,0.0,1.0,0.5008
73.0,0.0,15.151999999999997,0.0,0.0,1.0,0.4968
74.0,0.0,15.151999999999997,0.0,0.0,1.0,0.493
75.0,0.0,15.151999999999997,0.0,0.0,1.0,0.4894
76.0,0.0,15.151999999999997,0.0,0.0,1.0,0.48579999999999995
77.0,0.0,15.151999999999997,0.0,0.0,1.0,0.4824
78.0,0.0,15.151999999999997,0.0,0.0,1.0,0.479
79.0,0.0,15.151999999999997,0.0,0.0,1.0,0.4756
80.0,0.0,15.151999999999997,0.0,0.0,1.0,0.4726
81.0,0.0,15.151999999999997,0.0,0.0,1.0,0.4694
82.0,0.0,15.151999999999997,0.0,0.0,1.0,0.4664
83.0,0.0,15.151999999999997,0.0,0.0,1.0,0.46340000000000003
84.0,0.0,15.151999999999997,0.0,0.0,1.0,0.4606
85.0,0.0,15.151999999999997,0.0,0.0,1.0,0.45780000000000004
