Time Step,Throughput,Avg Passing Time,Avg Stationary Duration,Stop Count,Fairness,Stability (Speed Deviation)
0,0.0,15.01,0,0,1.0,nan
1,0.0,15.01,0,0,1.0,0.0
2,0.0,15.01,0,0,1.0,0.0
3,0.0,15.01,0,0,1.0,0.0
4,0.0,15.01,0,0,1.0,0.0
5,0.0,15.01,0,0,1.0,0.0
6,0.0,15.01,0,0,1.0,0.0
7,0.0,15.01,0,0,1.0,0.0
8,0.0,15.01,0,0,1.0,0.0
9,0.0,15.01,0,0,1.0,0.0
10,0.0,15.01,0,0,1.0,0.0
11,0.0,15.01,0,0,1.0,0.0
12,0.0,15.01,0,0,1.0,0.0
13,0.0,15.01,0,0,1.0,0.0
14,0.0,15.01,0,0,1.0,0.0
15,0.0,15.01,0,0,1.0,0.0
16,0.0,15.01,0,0,1.0,0.0
17,0.0,15.01,0,0,1.0,0.0
18,0.0,15.01,0,0,1.0,0.0
19,0.0,15.01,0,0,1.0,0.0
20,0.0,15.01,0,0,1.0,0.0
21,0.0,15.01,0,0,1.0,0.0
22,0.0,15.01,0,0,1.0,0.0
23,0.0,15.01,0,0,1.0,0.0
24,0.0,15.01,0,0,1.0,0.0
25,0.0,15.01,0,0,1.0,0.0
26,0.0,15.01,0,0,1.0,0.0
27,0.0,15.01,0,0,1.0,0.0
28,0.0,15.01,0,0,1.0,0.0
29,0.0,15.01,0,0,1.0,0.0
30,0.0,15.01,0,0,1.0,0.0
31,0.0,15.01,0,0,1.0,0.0
32,0.0,15.01,0,0,1.0,0.0
33,0.0,15.01,0,0,1.0,0.0
34,0.0,15.01,0,0,1.0,0.0
35,0.0,15.01,0,0,1.0,0.0
36,0.0,15.01,0,0,1.0,0.0
37,0.0,15.01,0,0,1.0,0.0
38,0.0,15.01,0,0,1.0,0.0
39,0.0,15.01,0,0,1.0,0.0
40,0.0,15.01,0,0,1.0,0.0
41,0.0,15.01,0,0,1.0,0.0
42,0.0,15.01,0,0,1.0,0.0
43,0.0,15.01,0,0,1.0,0.0
44,0.0,15.01,0,0,1.0,0.0
45,0.0,15.01,0,0,1.0,0.0
46,0.0,15.01,0,0,1.0,0.0
47,0.0,15.01,0,0,1.0,0.0
48,0.0,15.01,0,0,1.0,0.0
49,0.0,15.41,0,0,1.0,0.0
50,0.0,15.41,0,0,1.0,0.0
51,0.0,15.41,0,0,1.0,0.0
52,0.0,15.41,0,0,1.0,0.0
53,0.0,15.41,0,0,1.0,0.0
54,0.0,15.41,0,0,1.0,0.0
55,0.0,15.41,0,0,1.0,0.0
56,0.0,15.41,0,0,1.0,0.0
57,0.0,15.41,0,0,1.0,0.0
58,0.0,15.41,0,0,1.0,0.0
59,0.0,15.41,0,0,1.0,0.0
60,0.0,15.41,0,0,1.0,0.0
61,0.0,15.41,0,0,1.0,0.079
62,0.0,15.41,0,0,1.0,0.11
63,0.0,15.41,0,0,1.0,0.134
64,0.0,15.41,0,0,1.0,0.153
65,0.0,15.41,0,0,1.0,0.17
66,0.0,15.41,0,0,1.0,0.184
67,0.0,15.41,0,0,1.0,0.197
68,0.0,15.41,0,0,1.0,0.208
69,0.0,15.41,0,0,1.0,0.218
70,0.0,15.41,0,0,1.0,0.228
71,0.0,15.41,0,0,1.0,0.236
72,0.0,15.41,0,0,1.0,0.244
73,0.0,15.41,0,0,1.0,0.252
74,0.0,15.41,0,0,1.0,0.259
75,0.0,15.41,0,0,1.0,0.265
76,0.0,15.41,0,0,1.0,0.272
77,0.0,15.41,0,0,1.0,0.277
78,0.0,15.41,0,0,1.0,0.283
79,0.0,15.41,0,0,1.0,0.288
80,0.0,15.41,0,0,1.0,0.293
81,0.0,15.41,0,0,1.0,0.298
82,0.0,15.41,0,0,1.0,0.302
83,0.0,15.41,0,0,1.0,0.306
84,0.0,15.41,0,0,1.0,0.31
85,0.0,15.41,0,0,1.0,0.314
86,0.0,15.41,0,0,1.0,0.318
87,0.0,15.41,0,0,1.0,0.322
88,0.0,15.41,0,0,1.0,0.325
89,0.0,15.41,0,0,1.0,0.328
90,0.0,15.41,0,0,1.0,0.331
91,0.0,15.41,0,0,1.0,0.335
92,0.0,15.41,0,0,1.0,0.337
93,0.0,15.41,0,0,1.0,0.34
94,0.0,15.41,0,0,1.0,0.343
95,0.0,15.41,0,0,1.0,0.345
96,0.0,15.41,0,0,1.0,0.347
97,0.0,15.41,0,0,1.0,0.349
98,0.0,15.41,0,0,1.0,0.351
99,0.0,15.41,0,0,1.0,0.352
100,0.0,15.41,0,0,1.0,0.354
101,0.0,15.41,0,0,1.0,0.356
102,0.0,15.41,0,0,1.0,0.357
103,0.0,15.41,0,0,1.0,0.359
104,0.0,15.41,0,0,1.0,0.36
105,0.0,15.41,0,0,1.0,0.362
106,0.0,15.41,0,0,1.0,0.363
107,0.0,15.41,0,0,1.0,0.364
108,0.0,15.41,0,0,1.0,0.366
109,0.0,15.41,0,0,1.0,0.367
110,0.0,15.41,0,0,1.0,0.368
111,0.0,15.41,0,0,1.0,0.369
112,0.0,15.41,0,0,1.0,0.37
113,0.0,15.41,0,0,1.0,0.372
114,0.0,15.41,0,0,1.0,0.373
115,0.0,15.41,0,0,1.0,0.374
116,0.0,15.41,0,0,1.0,0.375
117,0.0,15.41,0,0,1.0,0.376
118,0.0,15.41,0,0,1.0,0.377
119,0.0,15.41,0,0,1.0,0.378
120,0.0,15.41,0,0,1.0,0.378
121,0.0,15.41,0,0,1.0,0.379
122,0.0,15.41,0,0,1.0,0.38
123,0.0,15.41,0,0,1.0,0.381
124,0.0,15.41,0,0,1.0,0.382
125,0.0,15.41,0,0,1.0,0.383
126,0.0,15.41,0,0,1.0,0.383
127,0.0,15.41,0,0,1.0,0.384
128,0.0,15.41,0,0,1.0,0.385
129,0.0,15.41,0,0,1.0,0.386
130,0.0,15.41,0,0,1.0,0.386
131,0.0,15.41,0,0,1.0,0.387
132,0.0,15.41,0,0,1.0,0.388
133,0.0,15.41,0,0,1.0,0.388
134,0.0,15.41,0,0,1.0,0.389
135,0.0,15.41,0,0,1.0,0.39
136,0.0,15.41,0,0,1.0,0.39
137,0.0,15.41,0,0,1.0,0.391
138,0.0,15.41,0,0,1.0,0.391
139,0.0,15.41,0,0,1.0,0.392
140,0.0,15.41,0,0,1.0,0.393
141,0.0,15.41,0,0,1.0,0.393
142,0.0,15.41,0,0,1.0,0.394
143,0.0,15.41,0,0,1.0,0.394
144,0.0,15.41,0,0,1.0,0.395
145,0.0,15.41,0,0,1.0,0.395
146,0.0,15.41,0,0,1.0,0.396
147,0.0,15.41,0,0,1.0,0.396
148,0.0,15.41,0,0,1.0,0.397
149,0.0,15.41,0,0,1.0,0.397
150,0.0,15.41,0,0,1.0,0.398
151,0.0,15.41,0,0,1.0,0.398
152,0.0,15.41,0,0,1.0,0.399
153,0.0,15.41,0,0,1.0,0.399
154,0.0,15.41,0,0,1.0,0.399
155,0.0,15.41,0,0,1.0,0.4
156,0.0,15.41,0,0,1.0,0.4
157,0.0,15.41,0,0,1.0,0.401
158,0.0,15.41,0,0,1.0,0.401
159,0.0,15.41,0,0,1.0,0.402
160,0.0,15.41,0,0,1.0,0.402
161,0.0,15.41,0,0,1.0,0.402
162,0.0,15.41,0,0,1.0,0.403
163,0.0,15.41,0,0,1.0,0.403
164,0.0,15.41,0,0,1.0,0.403
165,0.0,15.41,0,0,1.0,0.404
166,0.0,15.41,0,0,1.0,0.404
167,0.0,15.41,0,0,1.0,0.404
168,0.0,15.41,0,0,1.0,0.405
169,0.0,15.41,0,0,1.0,0.405
170,0.0,15.41,0,0,1.0,0.405
