Time Step,Throughput,Avg Waiting Time,Avg Stop Time,Stop Count,Fairness,Stability (Speed deviation)
0,0.0,3.09,0.08,0,1.0,nan
1,0.0,3.09,0.08,0,1.0,0.0
2,0.0,3.09,0.08,0,1.0,0.0
3,0.0,3.09,0.08,0,1.0,0.0
4,0.0,3.09,0.08,0,1.0,0.0
5,0.0,3.09,0.08,0,1.0,0.0
6,0.0,3.09,0.08,0,1.0,0.0
7,0.0,3.09,0.08,0,1.0,0.0
8,0.0,3.09,0.08,0,1.0,0.0
9,0.0,3.09,0.08,0,1.0,0.0
10,0.0,3.09,0.08,0,1.0,0.0
11,0.0,3.09,0.08,0,1.0,0.0
12,0.0,3.09,0.08,0,1.0,0.0
13,0.0,3.09,0.08,0,1.0,0.0
14,0.0,3.09,0.08,0,1.0,0.0
15,0.0,3.09,0.08,0,1.0,0.0
16,0.0,3.09,0.08,0,1.0,0.0
17,0.0,3.09,0.08,0,1.0,0.0
18,0.0,3.09,0.08,0,1.0,0.0
19,0.0,3.09,0.08,0,1.0,0.0
20,0.0,3.09,0.08,0,1.0,0.0
21,0.0,3.09,0.08,0,1.0,0.0
22,0.0,3.09,0.08,0,1.0,0.0
23,0.0,3.09,0.08,0,1.0,2.085
24,0.0,3.09,0.08,0,1.0,2.041
25,0.0,3.09,0.08,0,1.0,2.0
26,0.0,3.09,0.08,0,1.0,2.638
27,0.0,3.09,0.08,0,1.0,2.596
28,0.0,3.09,0.08,0,1.0,2.557
29,0.0,3.09,0.08,0,1.0,3.017
30,0.0,3.09,0.08,0,1.0,2.972
31,0.0,3.09,0.08,0,1.0,2.929
32,0.0,3.09,0.08,0,1.0,3.293
33,0.0,3.09,0.08,0,1.0,3.247
34,0.0,3.09,0.08,0,1.0,3.204
35,0.0,3.09,0.08,0,1.0,3.505
36,0.0,3.09,0.08,0,1.0,3.46
37,0.0,3.09,0.08,0,1.0,3.417
38,0.0,3.09,0.08,1,1.0,3.376
39,0.0,3.09,0.08,1,1.0,3.336
40,0.0,3.09,0.08,1,1.0,3.298
41,0.0,3.09,0.08,1,1.0,3.261
42,0.0,3.09,0.08,1,1.0,3.226
43,0.0,3.09,0.08,1,1.0,3.192
44,0.0,3.09,0.08,1,1.0,3.159
45,0.0,3.09,0.08,1,1.0,3.127
46,0.0,3.09,0.08,1,1.0,3.096
47,0.0,3.09,0.08,1,1.0,3.067
48,0.0,3.09,0.08,1,1.0,3.038
49,0.0,3.09,0.08,1,1.0,3.01
50,0.0,3.09,0.08,1,1.0,2.983
51,0.0,3.09,0.08,1,1.0,2.957
52,0.0,3.09,0.08,1,1.0,2.932
53,0.0,3.09,0.08,1,1.0,2.907
54,0.0,3.09,0.08,1,1.0,2.884
55,0.0,3.09,0.08,1,1.0,2.86
56,0.0,3.09,0.08,1,1.0,2.838
57,0.0,3.09,0.08,1,1.0,2.816
58,0.0,3.09,0.08,1,1.0,2.795
59,0.0,3.09,0.08,1,1.0,2.774
60,0.0,3.09,0.08,1,1.0,2.754
61,0.0,3.09,0.08,1,1.0,2.734
62,0.0,3.09,0.08,1,1.0,2.715
63,0.0,3.09,0.08,1,1.0,2.696
64,0.0,3.09,0.08,1,1.0,2.678
65,0.0,3.09,0.08,1,1.0,2.66
66,0.0,3.09,0.08,1,1.0,2.643
67,0.0,3.09,0.08,1,1.0,2.626
68,0.0,3.09,0.08,1,1.0,2.609
69,0.0,3.09,0.08,1,1.0,2.593
70,0.0,3.09,0.08,1,1.0,2.577
71,0.0,3.09,0.08,1,1.0,2.562
72,0.0,3.09,0.08,1,1.0,2.547
73,0.0,3.09,0.08,1,1.0,2.532
74,0.0,3.09,0.08,1,1.0,2.518
75,0.0,3.09,0.08,1,1.0,2.503
76,0.0,3.09,0.08,1,1.0,2.489
77,0.0,3.09,0.08,1,1.0,2.476
78,0.0,3.09,0.08,1,1.0,2.463
79,0.0,3.09,0.08,1,1.0,2.449
80,0.0,3.09,0.08,1,1.0,2.437
81,0.0,3.09,0.08,1,1.0,2.424
82,0.0,3.09,0.08,1,1.0,2.412
83,0.0,3.09,0.08,1,1.0,2.4
84,0.0,3.09,0.08,1,1.0,2.388
