Time Step,Throughput,Avg Waiting Time,Avg Stop Time,Stop Count,Fairness,Stability (Speed deviation)
0,0.0,3.0,0.02,0,0.8,nan
1,0.0,3.0,0.02,0,0.8,0.0
2,0.0,3.0,0.02,0,0.8,0.0
3,0.0,3.0,0.02,0,0.8,0.0
4,0.0,3.0,0.02,0,0.8,0.0
5,0.0,3.0,0.02,0,0.8,0.0
6,0.0,3.0,0.02,0,0.8,0.0
7,0.0,3.0,0.02,0,0.8,3.402
8,0.0,3.0,0.02,0,0.8,3.202
9,0.0,3.0,0.02,1,0.8,3.037
10,0.0,3.0,0.02,1,0.8,2.898
11,0.0,3.0,0.02,1,0.8,3.668
12,0.0,3.0,0.02,1,0.8,3.559
13,0.0,3.0,0.02,2,0.8,3.431
14,0.0,3.0,0.02,2,0.8,3.317
15,0.0,3.0,0.02,2,0.8,3.812
16,0.0,3.0,0.02,2,0.8,3.725
17,0.0,3.0,0.02,3,0.8,3.646
18,0.0,3.0,0.02,3,0.8,3.575
19,0.0,3.0,0.02,3,0.8,3.487
20,0.0,3.0,0.02,3,0.8,3.406
21,0.0,3.0,0.02,3,0.8,3.331
22,0.0,3.0,0.02,3,0.8,3.261
23,0.0,3.0,0.02,3,0.8,3.196
24,0.0,3.0,0.02,3,0.8,3.136
25,0.0,3.0,0.02,3,0.8,3.079
26,0.0,3.0,0.02,3,0.8,3.026
27,0.0,3.0,0.02,3,0.8,2.975
28,0.0,3.0,0.02,3,0.8,2.928
29,0.0,3.0,0.02,3,0.8,2.883
30,0.0,3.0,0.02,3,0.8,2.84
31,0.0,3.0,0.02,3,0.8,2.8
32,0.0,3.0,0.02,3,0.8,2.761
33,0.0,3.0,0.02,3,0.8,2.725
34,0.0,3.0,0.02,3,0.8,2.69
35,0.0,3.0,0.02,3,0.8,2.657
36,0.0,3.0,0.02,3,0.8,2.625
37,0.0,3.0,0.02,3,0.8,2.594
38,0.0,3.0,0.02,3,0.8,2.565
39,0.0,3.0,0.02,3,0.8,2.537
40,0.0,3.0,0.02,3,0.8,2.51
41,0.0,3.0,0.02,3,0.8,2.484
42,0.0,3.0,0.02,3,0.8,2.459
43,0.0,3.0,0.02,3,0.8,2.435
44,0.0,3.0,0.02,3,0.8,2.412
45,0.0,3.0,0.02,3,0.8,2.39
46,0.0,3.0,0.02,3,0.8,2.368
47,0.0,3.0,0.02,3,0.8,2.347
48,0.0,3.0,0.02,3,0.8,2.327
49,0.0,3.0,0.02,3,0.8,2.308
50,0.0,3.0,0.02,3,0.8,2.289
51,0.0,3.0,0.02,3,0.8,2.271
52,0.0,3.0,0.02,3,0.8,2.253
53,0.0,3.0,0.02,3,0.8,2.236
54,0.0,3.0,0.02,3,0.8,2.219
55,0.0,3.0,0.02,3,0.8,2.203
56,0.0,3.0,0.02,3,0.8,2.188
57,0.0,3.0,0.02,3,0.8,2.172
58,0.0,3.0,0.02,3,0.8,2.158
59,0.0,3.0,0.02,3,0.8,2.143
60,0.0,3.0,0.02,3,0.8,2.125
61,0.0,3.0,0.02,3,0.8,2.108
62,0.0,3.0,0.02,3,0.8,2.091
63,0.0,3.0,0.02,3,0.8,2.074
64,0.0,3.0,0.02,3,0.8,2.058
65,0.0,3.0,0.02,3,0.8,2.042
66,0.0,3.0,0.02,3,0.8,2.026
67,0.0,3.0,0.02,3,0.8,2.011
68,0.0,3.0,0.02,3,0.8,1.996
69,0.0,3.0,0.02,3,0.8,1.982
70,0.0,3.0,0.02,3,0.8,1.968
71,0.0,3.0,0.02,3,0.8,1.954
72,0.0,3.0,0.02,3,0.8,1.94
73,0.0,3.0,0.02,3,0.8,1.927
74,0.0,3.0,0.02,3,0.8,1.914
75,0.0,3.0,0.02,3,0.8,1.901
76,0.0,3.0,0.02,3,0.8,1.888
77,0.0,3.0,0.02,3,0.8,1.876
78,0.0,3.0,0.02,3,0.8,1.864
79,0.0,3.0,0.02,3,0.8,1.852
80,0.0,3.0,0.02,3,0.8,1.841
81,0.0,3.0,0.02,3,0.8,1.829
82,0.0,3.0,0.02,3,0.8,1.818
83,0.0,3.0,0.02,3,0.8,1.807
84,0.0,3.0,0.02,3,0.8,1.796
85,0.0,3.0,0.02,3,0.8,1.786
86,0.0,3.0,0.02,3,0.8,1.775
87,0.0,3.0,0.02,3,0.8,1.765
88,0.0,3.0,0.02,3,0.8,1.755
89,0.0,3.0,0.02,3,0.8,1.745
90,0.0,3.0,0.02,3,0.8,1.735
91,0.0,3.0,0.02,3,0.8,1.726
92,0.0,3.0,0.02,3,0.8,1.716
93,0.0,3.0,0.02,3,0.8,1.707
94,0.0,3.0,0.02,3,0.8,1.698
95,0.0,3.0,0.02,3,0.8,1.689
96,0.0,3.0,0.02,3,0.8,1.68
97,0.0,3.0,0.02,3,0.8,1.671
98,0.0,3.0,0.02,3,0.8,1.663
99,0.0,3.0,0.02,3,0.8,1.655
100,0.0,3.0,0.02,3,0.8,1.646
101,0.0,3.0,0.02,3,0.8,1.638
102,0.0,3.0,0.02,3,0.8,1.63
103,0.0,3.0,0.02,3,0.8,1.622
104,0.0,3.0,0.02,3,0.8,1.614
105,0.0,3.0,0.02,3,0.8,1.607
106,0.0,3.0,0.02,3,0.8,1.599
107,0.0,3.0,0.02,3,0.8,1.591
108,0.0,3.0,0.02,3,0.8,1.584
109,0.0,3.0,0.02,3,0.8,1.577
110,0.0,3.0,0.02,3,0.8,1.57
111,0.0,3.0,0.02,3,0.8,1.563
