Time Step,Throughput,Avg Waiting Time,Avg Stop Time,Stop Count,Fairness,Stability (Speed deviation)
0,0.0,2.99,0.02,0,0.89,nan
1,0.0,2.99,0.02,0,0.89,0.0
2,0.0,2.99,0.02,0,0.89,0.0
3,0.0,2.99,0.02,0,0.89,0.0
4,0.0,2.99,0.02,0,0.89,0.0
5,0.0,2.99,0.02,0,0.89,0.0
6,0.0,2.99,0.02,0,0.89,3.674
7,0.0,2.99,0.02,0,0.89,3.423
8,0.0,2.99,0.02,1,0.89,3.221
9,0.0,2.99,0.02,1,0.89,3.055
10,0.0,2.99,0.02,1,0.89,3.847
11,0.0,2.99,0.02,1,0.89,3.717
12,0.0,2.99,0.02,2,0.89,3.606
13,0.0,2.99,0.02,2,0.89,3.475
14,0.0,2.99,0.02,2,0.89,3.973
15,0.0,2.99,0.02,2,0.89,3.873
16,0.0,2.99,0.02,3,0.9,3.783
17,0.0,2.99,0.02,3,0.9,3.702
18,0.0,2.99,0.02,3,0.9,4.062
19,0.0,2.99,0.02,3,0.9,3.98
20,0.0,2.99,0.02,4,0.9,3.905
21,0.0,2.99,0.02,4,0.9,3.836
22,0.0,2.99,0.02,4,0.9,3.772
23,0.0,2.99,0.02,4,0.9,3.712
24,0.0,2.99,0.02,4,0.9,3.657
25,0.0,2.99,0.02,4,0.9,3.606
26,0.0,2.99,0.02,4,0.9,3.541
27,0.0,2.99,0.02,4,0.9,3.48
28,0.0,2.99,0.02,4,0.9,3.423
29,0.0,2.99,0.02,4,0.9,3.368
30,0.0,2.99,0.02,4,0.9,3.317
31,0.0,2.99,0.02,4,0.9,3.268
32,0.0,2.99,0.02,4,0.9,3.221
33,0.0,2.99,0.02,4,0.9,3.177
34,0.0,2.99,0.02,4,0.9,3.134
35,0.0,2.99,0.02,4,0.9,3.094
36,0.0,2.99,0.02,4,0.9,3.055
37,0.0,2.99,0.02,4,0.9,3.018
38,0.0,2.99,0.02,4,0.9,2.982
39,0.0,2.99,0.02,4,0.9,2.948
40,0.0,2.99,0.02,4,0.9,2.915
41,0.0,2.99,0.02,4,0.9,2.884
42,0.0,2.99,0.02,4,0.9,2.854
43,0.0,2.99,0.02,4,0.9,2.824
44,0.0,2.99,0.02,4,0.9,2.796
45,0.0,2.99,0.02,4,0.9,2.769
46,0.0,2.99,0.02,4,0.9,2.743
47,0.0,2.99,0.02,4,0.9,2.717
48,0.0,2.99,0.02,4,0.9,2.693
49,0.0,2.99,0.02,4,0.9,2.669
50,0.0,2.99,0.02,4,0.9,2.646
51,0.0,2.99,0.02,4,0.9,2.623
52,0.0,2.99,0.02,4,0.9,2.602
53,0.0,2.99,0.02,4,0.9,2.581
54,0.0,2.99,0.02,4,0.9,2.56
55,0.0,2.99,0.02,4,0.9,2.541
56,0.0,2.99,0.02,4,0.9,2.521
57,0.0,2.99,0.02,4,0.9,2.503
58,0.0,2.99,0.02,4,0.9,2.484
59,0.0,2.99,0.02,4,0.9,2.467
60,0.0,2.99,0.02,4,0.9,2.449
61,0.0,2.99,0.02,4,0.9,2.433
62,0.0,2.99,0.02,4,0.9,2.416
63,0.0,2.99,0.02,4,0.9,2.4
64,0.0,2.99,0.02,4,0.9,2.385
65,0.0,2.99,0.02,4,0.9,2.37
66,0.0,2.99,0.02,4,0.9,2.355
67,0.0,2.99,0.02,4,0.9,2.34
68,0.0,2.99,0.02,4,0.9,2.326
69,0.0,2.99,0.02,4,0.9,2.313
70,0.0,2.99,0.02,4,0.9,2.299
71,0.0,2.99,0.02,4,0.9,2.286
72,0.0,2.99,0.02,4,0.9,2.273
73,0.0,2.99,0.02,4,0.9,2.26
74,0.0,2.99,0.02,4,0.9,2.248
75,0.0,2.99,0.02,4,0.9,2.236
76,0.0,2.99,0.02,4,0.9,2.224
77,0.0,2.99,0.02,4,0.9,2.213
78,0.0,2.99,0.02,4,0.9,2.201
79,0.0,2.99,0.02,4,0.9,2.19
80,0.0,2.99,0.02,4,0.9,2.177
81,0.0,2.99,0.02,4,0.9,2.163
82,0.0,2.99,0.02,4,0.9,2.15
83,0.0,2.99,0.02,4,0.9,2.137
84,0.0,2.99,0.02,4,0.9,2.124
85,0.0,2.99,0.02,4,0.9,2.112
86,0.0,2.99,0.02,4,0.9,2.099
87,0.0,2.99,0.02,4,0.9,2.087
88,0.0,2.99,0.02,4,0.9,2.075
89,0.0,2.99,0.02,4,0.9,2.064
90,0.0,2.99,0.02,4,0.9,2.052
91,0.0,2.99,0.02,4,0.9,2.041
92,0.0,2.99,0.02,4,0.9,2.03
93,0.0,2.99,0.02,4,0.9,2.224
94,0.0,2.99,0.02,4,0.9,2.215
95,0.0,2.99,0.02,4,0.9,2.205
96,0.0,2.99,0.02,4,0.91,2.196
97,0.0,2.99,0.02,4,0.91,2.187
98,0.0,2.99,0.02,4,0.91,2.358
99,0.0,2.99,0.02,4,0.91,2.348
100,0.0,2.99,0.02,4,0.91,2.339
101,0.0,2.99,0.02,4,0.91,2.329
102,0.0,2.99,0.02,4,0.91,2.32
103,0.0,2.99,0.02,4,0.91,2.473
104,0.0,2.99,0.02,4,0.91,2.463
105,0.0,2.99,0.02,4,0.91,2.453
106,0.0,2.99,0.02,4,0.91,2.444
107,0.0,2.99,0.02,4,0.91,2.434
108,0.0,2.99,0.02,5,0.91,2.425
109,0.0,2.99,0.02,5,0.91,2.416
110,0.0,2.99,0.02,5,0.91,2.406
111,0.0,2.99,0.02,5,0.91,2.397
112,0.0,2.99,0.02,5,0.91,2.389
113,0.0,2.99,0.02,5,0.91,2.38
114,0.0,2.99,0.02,5,0.91,2.371
115,0.0,2.99,0.02,5,0.91,2.363
116,0.0,2.99,0.02,5,0.91,2.354
117,0.0,2.99,0.02,5,0.91,2.346
118,0.0,2.99,0.02,5,0.91,2.338
119,0.0,2.99,0.02,5,0.91,2.33
120,0.0,2.99,0.02,5,0.91,2.322
121,0.0,2.99,0.02,5,0.91,2.314
122,0.0,2.99,0.02,5,0.91,2.306
123,0.0,2.99,0.02,5,0.91,2.299
124,0.0,2.99,0.02,5,0.91,2.291
125,0.0,2.99,0.02,5,0.91,2.284
126,0.0,2.99,0.02,5,0.91,2.277
127,0.0,2.99,0.02,5,0.91,2.269
128,0.0,2.99,0.02,5,0.91,2.262
129,0.0,2.99,0.02,5,0.91,2.389
130,0.0,2.99,0.02,5,0.91,2.381
131,0.0,2.99,0.02,5,0.91,2.374
132,0.0,2.99,0.02,5,0.91,2.366
133,0.0,2.99,0.02,5,0.91,2.359
134,0.0,2.99,0.02,5,0.91,2.352
135,0.0,2.99,0.02,5,0.91,2.468
136,0.0,2.99,0.02,5,0.91,2.46
137,0.0,2.99,0.02,5,0.91,2.452
138,0.0,2.99,0.02,5,0.91,2.445
139,0.0,2.99,0.02,5,0.91,2.438
140,0.0,2.99,0.02,5,0.91,2.43
141,0.0,2.99,0.02,5,0.91,2.538
142,0.0,2.99,0.02,5,0.91,2.53
143,0.0,2.99,0.02,5,0.91,2.523
144,0.0,2.99,0.02,5,0.89,2.515
145,0.0,2.99,0.02,5,0.89,2.508
146,0.0,2.99,0.02,5,0.89,2.501
147,0.0,2.99,0.02,5,0.89,2.6
148,0.0,2.99,0.02,5,0.89,2.593
149,0.0,2.99,0.02,5,0.89,2.585
150,0.0,2.99,0.02,5,0.89,2.578
151,0.0,2.99,0.03,5,0.89,2.571
152,0.0,2.99,0.03,5,0.89,2.564
153,0.0,2.99,0.03,5,0.89,2.657
154,0.0,2.99,0.03,5,0.89,2.649
155,0.0,2.99,0.03,5,0.89,2.642
156,0.0,2.99,0.03,5,0.89,2.635
157,0.0,2.99,0.03,5,0.89,2.628
158,0.0,2.99,0.03,5,0.89,2.621
159,0.0,2.99,0.03,6,0.89,2.613
160,0.0,2.99,0.03,6,0.8,2.606
161,0.0,2.99,0.03,6,0.8,2.6
162,0.0,2.99,0.03,6,0.8,2.593
163,0.0,2.99,0.03,6,0.8,2.586
164,0.0,2.99,0.03,6,0.8,2.579
165,0.0,2.99,0.03,6,0.8,2.573
166,0.0,2.99,0.03,6,0.8,2.566
167,0.0,2.99,0.03,6,0.8,2.559
168,0.0,2.99,0.03,6,0.8,2.553
169,0.0,2.99,0.03,6,0.8,2.547
170,0.0,3.04,0.03,6,0.8,2.54
171,0.0,3.04,0.03,6,0.8,2.534
172,0.0,3.04,0.03,6,0.8,2.528
173,0.0,3.04,0.03,6,0.8,2.522
174,0.0,3.04,0.03,6,0.8,2.515
175,0.0,3.04,0.03,6,0.8,2.509
176,0.0,3.04,0.03,6,0.8,2.503
177,0.0,3.04,0.03,6,0.8,2.497
178,0.0,3.04,0.03,6,0.8,2.492
179,0.0,3.04,0.03,6,0.8,2.486
180,0.0,3.04,0.03,6,0.8,2.48
181,0.0,3.04,0.03,6,0.8,2.474
182,0.0,3.04,0.03,6,0.8,2.468
183,0.0,3.04,0.03,6,0.8,2.463
184,0.0,3.04,0.03,6,0.8,2.457
185,0.0,3.04,0.03,6,0.8,2.452
186,0.0,3.04,0.03,6,0.8,2.446
187,0.0,3.04,0.03,6,0.8,2.441
188,0.0,3.04,0.03,6,0.8,2.435
189,0.0,3.04,0.03,6,0.8,2.43
190,0.0,3.04,0.03,6,0.8,2.425
